#=====================================================
# File created:        Tue-12-Mar-2024-at-09-01-53PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.751123
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2601.4738  0.2626 
   00001    0.6788   -3748.9700  0.2703 
   00002    0.6140   -4531.3706  0.2732 
   00003    0.5704   -5119.9739  0.2790 
   00004    0.5608   -5570.8503  0.2859 
   00005    0.5404   -5896.8215  0.3056 
   00006    0.5296   -6160.8854  0.3110 
   00007    0.5108   -6367.7867  0.3133 
   00008    0.5044   -6563.0392  0.3201 
   00009    0.4912   -6738.0864  0.3310 
   00010    0.4776   -6854.6338  0.3426 
   00011    0.4764   -6995.3564  0.3431 
   00012    0.4700   -7164.0002  0.3558 
   00013    0.4448   -7188.2204  0.3594 
   00014    0.4632   -7277.2384  0.3582 
   00015    0.4708   -7325.2999  0.3655 
   00016    0.4468   -7429.2794  0.3598 
   00017    0.4452   -7534.6542  0.3616 
   00018    0.4464   -7580.7113  0.3674 
   00019    0.4376   -7678.8245  0.3730 
   00020    0.4344   -7691.2615  0.3762 
   00021    0.4348   -7705.8465  0.3934 
   00022    0.4552   -7720.0020  0.3914 
   00023    0.4492   -7751.9926  0.3863 
   00024    0.4372   -7815.5210  0.3871 
   00025    0.4284   -7822.3163  0.3846 
   00026    0.4216   -7846.0593  0.3862 
   00027    0.4340   -7901.7843  0.3878 
   00028    0.4256   -7918.3602  0.3907 
   00029    0.4388   -7953.5433  0.3910 
   00030    0.4248   -7981.2808  0.3949 
   00031    0.4212   -7999.4141  0.3971 
   00032    0.4400   -7997.8475  0.4060 
   00033    0.4412   -7994.5780  0.4027 
   00034    0.4192   -7992.8312  0.4040 
   00035    0.4440   -8001.5972  0.4064 
   00036    0.4316   -8088.5196  0.4070 
   00037    0.4268   -8090.6853  0.4041 
   00038    0.4192   -8091.7812  0.4045 
   00039    0.4332   -8063.4740  0.4065 
   00040    0.4212   -8084.9374  0.4076 
   00041    0.4336   -8112.3709  0.4068 
   00042    0.4208   -8186.1015  0.4106 
   00043    0.3952   -8156.4297  0.4103 
   00044    0.4228   -8162.2981  0.4079 
   00045    0.4164   -8177.0966  0.4096 
   00046    0.4400   -8147.6640  0.4133 
   00047    0.4352   -8180.1407  0.4114 
   00048    0.4088   -8232.7864  0.4135 
   00049    0.4344   -8251.1937  0.4176 
   00050    0.4088   -8212.7910  0.4210 
