#=====================================================
# File created:        Wed-13-Mar-2024-at-02-30-17AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.991593
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2404.2283  0.2638 
   00001    0.6740   -3522.2671  0.2562 
   00002    0.6200   -4299.8572  0.2634 
   00003    0.5920   -4937.1697  0.2596 
   00004    0.5700   -5365.0113  0.2591 
   00005    0.5460   -5737.8312  0.2687 
   00006    0.5172   -6107.5604  0.2683 
   00007    0.5300   -6319.7649  0.2748 
   00008    0.5044   -6492.6230  0.2713 
   00009    0.5016   -6634.6055  0.2737 
   00010    0.4920   -6784.1502  0.2685 
   00011    0.4928   -6919.7627  0.2642 
   00012    0.4748   -7011.2959  0.2704 
   00013    0.4916   -7170.1827  0.2679 
   00014    0.4592   -7269.5493  0.2619 
   00015    0.4784   -7299.2700  0.2601 
   00016    0.4436   -7404.2227  0.2605 
   00017    0.4544   -7444.0631  0.2665 
   00018    0.4540   -7536.4140  0.2634 
   00019    0.4344   -7580.9185  0.2576 
   00020    0.4440   -7609.2913  0.2561 
   00021    0.4508   -7682.9843  0.2638 
   00022    0.4448   -7726.7790  0.2621 
   00023    0.4420   -7770.0843  0.2660 
   00024    0.4352   -7780.5325  0.2672 
   00025    0.4640   -7761.0777  0.2713 
   00026    0.4396   -7811.6095  0.2795 
   00027    0.4332   -7820.3655  0.2830 
   00028    0.4404   -7862.3943  0.2820 
   00029    0.4392   -7873.5024  0.2835 
   00030    0.4416   -7872.5103  0.2878 
   00031    0.4424   -7901.6295  0.2907 
   00032    0.4184   -7927.2545  0.2970 
   00033    0.4312   -7971.8385  0.2923 
   00034    0.4244   -7980.6094  0.2870 
   00035    0.4404   -7980.3476  0.2878 
   00036    0.4300   -7985.2386  0.2843 
   00037    0.4236   -8005.0063  0.2825 
   00038    0.4288   -8026.7369  0.2801 
   00039    0.4332   -8049.4912  0.2831 
   00040    0.4320   -8086.9673  0.2838 
   00041    0.4404   -8082.4885  0.2847 
   00042    0.4296   -8056.1549  0.2841 
   00043    0.4224   -8051.5155  0.2840 
   00044    0.4140   -8095.6256  0.2757 
   00045    0.4320   -8092.7053  0.2797 
   00046    0.4220   -8128.1564  0.2765 
   00047    0.4268   -8072.2313  0.2705 
   00048    0.4276   -8093.2178  0.2781 
   00049    0.4180   -8088.2620  0.2762 
   00050    0.4028   -8093.6635  0.2766 
